ID,Module,Sub-Module,Use Case Name,Actor,Preconditions,Steps,Expected Result,Priority,Notes / Edge Cases
OT-001,Other,IT Solutions,View IT Solutions Page,Website Visitor,None,"1. Navigate to /it-solutions","IT solutions listing renders",Medium,""
OT-002,Other,IT Solutions,View IT Solution Detail,Website Visitor,None,"1. Navigate to /it-solutions/:slug","Detail page for that IT solution renders",Medium,""
OT-003,Other,Vendor,Vendor Registration Form,External Vendor,None,"1. Navigate to /vendor-registration 2. Fill form 3. Submit","Registration submitted; confirmation shown; vendor application created in DB",High,""
OT-004,Other,Productions,View Productions Showcase,Website Visitor,None,"1. Navigate to /productions","Production items render as gallery",Medium,""
AUTH-001,Portal,Authentication,Login with Valid Credentials,Portal User,"Portal API running; user exists in DB","1. Navigate to /portal/login 2. Enter valid email/password 3. Click Login","Token stored; redirected to /portal dashboard",Critical,""
AUTH-002,Portal,Authentication,Login with Invalid Credentials,Portal User,None,"1. Enter wrong email or password 2. Click Login","Error message shown; no token stored; stay on login page",Critical,""
AUTH-003,Portal,Authentication,Logout,Portal User,Logged in,"1. Click logout/profile menu 2. Click Logout","Token cleared; redirected to /portal/login",High,""
AUTH-004,Portal,Authentication,Access Protected Route When Unauthenticated,Unauthenticated User,None,"1. Navigate directly to /portal/customers","Redirected to /portal/login",Critical,""
AUTH-005,Portal,Authentication,Accept Portal Invite,Invited User,Invite email received,"1. Click invite link 2. Set password 3. Submit","Account activated; logged in",High,""
AUTH-006,Portal,Authentication,Session Expiry,Portal User,Token expired,"1. Try to load any portal page","Redirected to login; previous path remembered if applicable",High,""
DASH-001,Portal,Dashboard,View Dashboard,Admin / Staff,Logged in,"1. Navigate to /portal","KPI cards, recent activity, and quick-access shortcuts render",High,""
DASH-002,Portal,Dashboard,Use Command Bar,Portal User,Logged in,"1. Press keyboard shortcut to open command bar 2. Type search term","Matching nav items appear; pressing Enter navigates to them",Medium,""
CRM-001,Portal,CRM,View CRM Dashboard,Admin / Staff,Logged in with crm.read permission,"1. Navigate to /portal/crm","Pipeline overview, KPIs, and recent activity render",High,""
CRM-002,Portal,CRM,View Leads List,Admin / Staff,Logged in,"1. Navigate to /portal/crm/leads","Leads render in table with status, name, source columns",High,""
CRM-003,Portal,CRM,Create New Lead,Admin / Staff,Leads page open,"1. Click New Lead 2. Fill required fields (name, email) 3. Submit","Lead created; appears in list; toast success",High,"Test duplicate email validation"
CRM-004,Portal,CRM,View Lead Details,Admin / Staff,Lead exists,"1. Click a lead row","Lead detail page renders with all fields, status, notes",High,""
CRM-005,Portal,CRM,Update Lead Status,Admin / Staff,Lead detail open,"1. Change status dropdown 2. Save","Lead status updated; change reflects in list",High,"Test all status transitions"
CRM-006,Portal,CRM,View Deals Pipeline,Admin / Staff,Logged in,"1. Navigate to /portal/crm/deals","Deals render with stage/pipeline view",High,""
CRM-007,Portal,CRM,Create New Deal,Admin / Staff,Deals page open,"1. Click New Deal 2. Fill fields 3. Submit","Deal created and visible in pipeline",High,""
CRM-008,Portal,CRM,View Accounts,Admin / Staff,Logged in,"1. Navigate to /portal/crm/accounts","Accounts list renders with company names",High,""
CRM-009,Portal,CRM,Create New Account,Admin / Staff,Accounts page open,"1. Click New Account 2. Fill company name and details 3. Submit","Account created; visible in list",High,""
CRM-010,Portal,CRM,View Contacts,Admin / Staff,Logged in,"1. Navigate to /portal/crm/contacts","Contacts list renders",High,""
CRM-011,Portal,CRM,Create New Contact,Admin / Staff,Contacts page open,"1. Click New Contact 2. Fill name and email 3. Submit","Contact created; visible in list",High,""
PORT-001,Portal,Portfolio,View Portfolio Items List,Admin / Staff,Logged in with portfolio.read permission,"1. Navigate to /portal/portfolio","All portfolio items render as cards with status pills and thumbnails",High,""
PORT-002,Portal,Portfolio,Filter Portfolio by Status,Admin / Staff,Portfolio list open,"1. Select Published / Draft / Archived from filter","Only items with matching status show",High,""
PORT-003,Portal,Portfolio,Search Portfolio Items,Admin / Staff,Portfolio list open,"1. Type in search box","Results filter in real-time by title / category / tag",High,""
PORT-004,Portal,Portfolio,Create New Portfolio Item,Admin / Staff,Logged in,"1. Click New Item 2. Enter title and slug 3. Click Create","Item created as draft; redirected to detail editor",High,"Test duplicate slug error"
PORT-005,Portal,Portfolio,Edit Banner Content,Admin / Staff,Portfolio item detail open,"1. Fill clientName / bannerTitle / bannerDesc / bannerImage / thumbnailImg / dates 2. Click Save","All banner fields saved; public site reflects changes after refresh",Critical,"Image URL must render in preview"
PORT-006,Portal,Portfolio,Edit Case Study Story,Admin / Staff,Portfolio item detail open,"1. Fill overview / problems / solutions (one per line) / result 2. Click Save","Story content saved; all sections render on public detail page",Critical,""
PORT-007,Portal,Portfolio,Edit Gallery Images,Admin / Staff,Portfolio item detail open,"1. Enter image URLs one per line in Gallery section (or use picker) 2. Click Save","Gallery images saved; visible in masonry gallery on public page",High,""
PORT-008,Portal,Portfolio,Update SEO Metadata,Admin / Staff,Portfolio item detail open,"1. Fill META TITLE and META DESCRIPTION 2. Click Save","SEO fields saved to DB",Medium,""
PORT-009,Portal,Portfolio,Publish Portfolio Item,Admin / Staff,Item in draft status,"1. Click Publish button","Status changes to published; item appears on /portfolio and /case-studies",Critical,""
PORT-010,Portal,Portfolio,Archive Portfolio Item,Admin / Staff,Item published or draft,"1. Change status to Archived 2. Save","Item no longer visible on public pages; shows in portal with Archived badge",High,""
PORT-011,Portal,Portfolio,Delete Portfolio Item,Admin / Staff,Item exists,"1. Click Delete 2. Confirm in modal","Item permanently removed from DB and public pages",High,"Confirm modal must appear before deletion"
PORT-012,Portal,Portfolio,Change Sort Order,Admin / Staff,Multiple items exist,"1. Set numeric sortOrder on each item 2. Save","/portfolio and /case-studies display items in sortOrder sequence",High,""
PORT-013,Portal,Portfolio,Add New Item Appears on Public Site,Admin / Staff,"Item created, all fields filled, status = published","1. View /portfolio and /case-studies after publishing new item","New item row visible in gallery; card visible in listing; detail page accessible",Critical,"End-to-end integration test"
HR-001,Portal,HR,View HR Dashboard,HR Manager,Logged in with hr.staff.read permission,"1. Navigate to /portal/hr","Staff count, leave summary, expense summary KPIs render",High,""
HR-002,Portal,HR,View Staff List,HR Manager,Logged in,"1. Navigate to /portal/hr/staff","Staff members list with names, roles, departments renders",High,""
HR-003,Portal,HR,Add Staff Member,HR Manager,Staff list open,"1. Click Add Staff 2. Fill name, role, department 3. Submit","Staff record created; visible in list",High,""
HR-004,Portal,HR,View Staff Details,HR Manager,Staff member exists,"1. Click staff row","Detail page with personal info, role, team renders",High,""
HR-005,Portal,HR,Submit Expense Claim,Staff Member,Logged in,"1. Navigate to /portal/hr/expenses 2. Click New Claim 3. Fill amount and description 4. Submit","Claim submitted with 'pending' status; visible in manager's list",High,""
HR-006,Portal,HR,Approve Expense Claim,HR Manager,Pending claim exists,"1. Open claim 2. Click Approve","Claim status changes to approved; claimant notified if email configured",High,""
HR-007,Portal,HR,Reject Expense Claim,HR Manager,Pending claim exists,"1. Open claim 2. Click Reject","Claim status changes to rejected",High,""
HR-008,Portal,HR,View Monthly Expenses,Finance / HR Manager,Logged in,"1. Navigate to /portal/hr/monthly-expenses","Monthly expense totals with breakdown render",Medium,""
HR-009,Portal,HR,Submit Leave Request,Staff Member,Logged in,"1. Navigate via HR leaves 2. Click New Request 3. Select dates and type 4. Submit","Request submitted; visible in manager approval queue",High,""
HR-010,Portal,HR,Approve Leave Request,HR Manager,Pending leave request exists,"1. Open request 2. Click Approve","Leave status changes to approved",High,""
HR-011,Portal,HR,Reject Leave Request,HR Manager,Pending leave request exists,"1. Open request 2. Click Reject","Leave status changes to rejected",High,""
HR-012,Portal,HR,View Skill Matrix,Admin / HR Manager,Staff with skills recorded,"1. Navigate to /portal/hr/skills","Skills grid with staff vs. skill ratings renders",Medium,""
IAM-001,Portal,IAM,View Users List,Admin,Logged in as Admin/Super Admin,"1. Navigate to /portal/users","All portal users list with role badges renders",High,""
IAM-002,Portal,IAM,Invite New User,Admin,Users list open,"1. Navigate to /portal/users/invites 2. Enter email and role 3. Send invite","Invite email sent; pending invite visible in invites list",High,"Test invalid email format"
IAM-003,Portal,IAM,View User Details,Admin,User exists,"1. Click a user row","User profile with role, team, permissions summary renders",High,""
IAM-004,Portal,IAM,Change User Role,Admin,User detail open,"1. Change role dropdown 2. Save","Role updated; permissions change accordingly",High,""
IAM-005,Portal,IAM,Create New Role,Super Admin,Logged in as Super Admin,"1. Navigate to /portal/roles 2. Click New Role 3. Set permissions 4. Save","Role created; assignable to users",High,""
IAM-006,Portal,IAM,Edit Role Permissions,Super Admin,Role exists,"1. Open role 2. Toggle permissions 3. Save","Permissions updated; users with that role get updated access",High,""
IAM-007,Portal,IAM,Create New Team,Admin,Logged in,"1. Navigate to /portal/teams 2. Click New Team 3. Enter name 4. Assign members 5. Save","Team created; members visible under team",High,""
IAM-008,Portal,IAM,Permission Denied Redirect,Staff with limited role,Staff logged in,"1. Navigate to a restricted route (e.g. /portal/roles)","Access denied message or redirect to dashboard",Critical,"RBAC must be enforced on both front-end and API"
PROJ-001,Portal,Projects,View Projects List,Admin / Project Manager,Logged in,"1. Navigate to /portal/projects","Projects with status, client, and progress render",High,""
PROJ-002,Portal,Projects,Create New Project,Admin / Project Manager,Projects page open,"1. Click New Project 2. Fill project name and client 3. Submit","Project created; visible in list",High,""
PROJ-003,Portal,Projects,View Project Details,Admin / Project Manager,Project exists,"1. Click a project row","Detail page with milestones, team, and status renders",High,""
PROJ-004,Portal,Projects,Update Project Status,Project Manager,Project detail open,"1. Change project status 2. Save","Status updated; reflects in list",High,""
PROD-001,Portal,Productions,View Productions List,Admin / Staff,Logged in with productions.read permission,"1. Navigate to /portal/productions","Productions list renders with status and type",High,""
PROD-002,Portal,Productions,Create New Production,Admin / Staff,Productions page open,"1. Click New Production 2. Fill required fields 3. Submit","Production created; visible in list",High,""
PROD-003,Portal,Productions,View Jobs List,Admin / Staff,Logged in,"1. Navigate to /portal/jobs","Jobs list renders",High,""
PROD-004,Portal,Productions,Create New Job,Admin / Staff,Jobs page open,"1. Click New Job 2. Fill fields 3. Submit","Job created; linked to production",High,""
MEDIA-001,Portal,Media Library,View Media Library,Admin / Staff,Logged in with media.read permission,"1. Navigate to /portal/media-library","Grid of uploaded media assets renders",High,""
MEDIA-002,Portal,Media Library,Upload Media File,Admin / Staff,Media library open,"1. Click Upload 2. Select file(s) 3. Confirm","File(s) uploaded; thumbnails appear in library",Critical,"Test: image, video, PDF; test file size limit"
MEDIA-003,Portal,Media Library,Pick Media via Picker,Admin / Staff,Media picker triggered from portfolio editor,"1. Click Pick button on an image field 2. Select image from library 3. Confirm","Image URL populated in the form field; preview renders",High,""
MEDIA-004,Portal,Media Library,Delete Media File,Admin / Staff,Media file exists,"1. Select file 2. Click Delete 3. Confirm","File removed from library; URL broken on pages referencing it (warn before delete)",Medium,""
MEDIA-005,Portal,Media Library,Search Media,Admin / Staff,Media library has items,"1. Type filename in search","Matching assets filter in real-time",Medium,""
FILES-001,Portal,Files,View Files,Admin / Client,Logged in with files.read permission,"1. Navigate to /portal/files","Uploaded documents list renders",High,""
FILES-002,Portal,Files,Upload File,Admin / Staff,Files page open,"1. Click Upload 2. Select file 3. Submit","File uploaded; appears in list",High,""
FILES-003,Portal,Files,Download File,Portal User,File exists,"1. Click file row or download icon","File downloads to browser",High,""
COMM-001,Portal,Commercial,View Services Catalog,Admin / Staff,Logged in,"1. Navigate to /portal/services","Service template cards render",High,""
COMM-002,Portal,Commercial,Create Service Template,Admin,Services page open,"1. Click New Service 2. Fill fields in builder 3. Save","Service template created and visible in catalog",High,""
COMM-003,Portal,Commercial,View Enrollments,Admin / Staff,Logged in,"1. Navigate to /portal/enrollments","Client enrollment records with plan details render",High,""
COMM-004,Portal,Commercial,Create Enrollment,Admin,Enrollments page open,"1. Click New Enrollment 2. Select client and service 3. Submit","Enrollment created; linked to client",High,""
COMM-005,Portal,Commercial,View Billing,Finance / Admin,Logged in,"1. Navigate to /portal/billing","Invoice list with amount, status, and client renders",High,""
COMM-006,Portal,Commercial,Create Invoice,Finance / Admin,Billing page open,"1. Click New Invoice 2. Fill client, items, amounts 3. Save","Invoice created with Pending status",High,""
COMM-007,Portal,Commercial,View Invoice Details,Finance / Admin,Invoice exists,"1. Click an invoice row","Invoice detail with line items and total renders",High,""
WEB-001,Portal,Website Content,Manage Homepage Slides,Admin,Logged in with website.read permission,"1. Navigate to /portal/website/slides","Slides list renders; can add, edit, reorder, delete slides",High,""
WEB-002,Portal,Website Content,Create Homepage Slide,Admin,Slides page open,"1. Click New Slide 2. Enter title / description / image 3. Save","Slide created; appears in homepage hero slider on public site",Critical,""
WEB-003,Portal,Website Content,Update Site Images,Admin,Logged in,"1. Navigate to /portal/website/settings 2. Update hero/logo/page images 3. Save","Updated images reflect across the public website",Critical,""
WEB-004,Portal,Website Content,Manage Career Openings,Admin,Logged in with website.read permission,"1. Navigate to /portal/careers","Career openings list renders",High,""
WEB-005,Portal,Website Content,Create Job Opening,Admin,Careers admin page open,"1. Click New Opening 2. Fill title / description / requirements 3. Publish","Opening appears on /careers public page",High,""
WEB-006,Portal,Website Content,Unpublish Job Opening,Admin,Active job opening exists,"1. Open opening 2. Click Unpublish","Opening removed from public /careers page",High,""
PROC-001,Portal,Procurement,View Procurement Dashboard,Procurement Manager,Logged in with procurement.read permission,"1. Navigate to /portal/procurement","KPIs, pipeline summary, and recent requests render",High,""
PROC-002,Portal,Procurement,View Procurement Requests,Procurement Manager,Logged in,"1. Navigate to /portal/procurement/requests","Requests list with status and priority renders",High,""
PROC-003,Portal,Procurement,View Request Details,Procurement Manager,Request exists,"1. Click request row","Detail page with items, budget, and status renders",High,""
PROC-004,Portal,Procurement,Create RFQ,Procurement Officer,Logged in,"1. Navigate to /portal/procurement/rfqs/new 2. Fill vendor and items 3. Submit","RFQ created; vendors can be notified",High,""
PROC-005,Portal,Procurement,View RFQ Details,Procurement Manager,RFQ exists,"1. Click RFQ row","RFQ detail with responses and status renders",High,""
PROC-006,Portal,Procurement,View Vendors,Procurement Manager,Logged in,"1. Navigate to /portal/procurement/vendors","Approved vendor directory renders",High,""
PROC-007,Portal,Procurement,Review Vendor Application,Procurement Manager,"New vendor registered via /vendor-registration","1. Navigate to /portal/procurement/vendor-applications 2. Open application 3. Approve or Reject","Application status updated; vendor notified",High,""
TICK-001,Portal,Tickets,View Tickets List,Admin / Client,Logged in,"1. Navigate to /portal/tickets","Open tickets list with type, status, and assignee renders",High,""
TICK-002,Portal,Tickets,Create New Ticket,Portal User,Logged in,"1. Click New Ticket 2. Fill title / description / type 3. Submit","Ticket created with Open status; visible in list",High,""
TICK-003,Portal,Tickets,View Ticket Details,Portal User,Ticket exists,"1. Click ticket row","Ticket detail with status, comments renders",High,""
TICK-004,Portal,Tickets,Update Ticket Status,Admin / Staff,Ticket detail open,"1. Change status 2. Save","Status updated; client can see change",High,""
TICK-005,Portal,Tickets,Add Comment to Ticket,Portal User,Ticket detail open,"1. Type comment 2. Submit","Comment added with timestamp and author name",High,""
REP-001,Portal,Reporting,View Reports Dashboard,Admin / Manager,Logged in with reports.read permission,"1. Navigate to /portal/reports","Performance metrics, charts, and snapshot data render",High,""
REP-002,Portal,Reporting,View Activity Log,Admin,Logged in with activity.read permission,"1. Navigate to /portal/activity","Timestamped audit trail of user actions renders",Medium,"Verify sensitive operations are logged"
PROF-001,Portal,Profile,View and Edit Profile,Any Portal User,Logged in,"1. Navigate to /portal/profile 2. Edit name or avatar 3. Save","Profile updated; name change reflects in header",High,""
PROF-002,Portal,Settings,View Settings Page,Any Portal User,Logged in,"1. Navigate to /portal/settings","Preferences and configuration options render",Medium,""
API-001,API,Health,Health Check,System / DevOps,API server running,"1. GET /api/health","Returns { ok: true; status: 'up' }",High,"Used by uptime monitors"
API-002,API,Portfolio,Get Published Portfolio Items,Frontend / QC,API running,"1. GET /api/portfolio?status=published&sort=sortOrder","Returns 6 items in sortOrder with all case-study fields populated",Critical,"Verify all 6 seeded items return"
API-003,API,Portfolio,Get Single Portfolio Item,Frontend / QC,Item exists in DB,"1. GET /api/portfolio/:id (ObjectId)","Returns full item with imageUrls array",Critical,""
API-004,API,Portfolio,Get Item by Slug,Frontend / QC,Item exists,"1. GET /api/portfolio/profit-assurance","Returns item for that slug",High,""
API-005,API,Portfolio,Create Portfolio Item,Admin via Portal,Authenticated with portfolio.write permission,"1. POST /api/portfolio with title and slug","Returns 201 with new item",High,"Test 409 on duplicate slug"
API-006,API,Portfolio,Update Portfolio Item,Admin via Portal,Item exists; authenticated,"1. PATCH /api/portfolio/:id with new fields","Returns updated item",High,""
API-007,API,Portfolio,Delete Portfolio Item,Admin via Portal,Item exists; authenticated with portfolio.delete permission,"1. DELETE /api/portfolio/:id","Returns 200 ok; item no longer in GET list",High,"Test 404 on invalid ID"
API-008,API,Authentication,Login,Portal User,User account exists,"1. POST /api/auth/login with email+password","Returns JWT token and user profile",Critical,""
API-009,API,Authentication,Rate Limiting on Login,Attacker,None,"1. POST /api/auth/login 11 times in 15 min","11th attempt returns 429 Too Many Requests",High,"Security requirement"
API-010,API,Leads,Submit Public Contact Lead,Website Visitor,None,"1. POST /api/crm/leads with form data","Lead created in DB; returns 201",Critical,"Test input validation"
API-011,API,Careers,Get Active Careers,Website Visitor,Active openings exist,"1. GET /api/careers","Returns published career openings",High,""
API-012,API,Media,Upload Media File,Admin via Portal,Authenticated,"1. POST /api/media with multipart form","File stored in uploads; media record returned with url + thumbnailUrl",High,"Test file type and size limits"
API-013,API,RBAC,Unauthorized API Access,Unauthenticated User,No token,"1. GET /api/users (protected route)","Returns 401 Unauthorized",Critical,""
API-014,API,RBAC,Forbidden API Access,Authenticated User with wrong role,Authenticated as Staff without iam.users.read,"1. GET /api/users","Returns 403 Forbidden",Critical,""
